,criterion,max_depth,min_samples_leaf,Test Accuracy,Test STD,Train Accuracy,Train STD
0,squared_error,1,1,0.4248236732733714,0.342041618878147,0.6676753283357553,0.017294718599424858
1,squared_error,1,2,0.4248236732733714,0.34204161887814705,0.6676753283357553,0.017294718599424858
2,squared_error,1,3,0.4248236732733714,0.34204161887814705,0.6676753283357553,0.017294718599424858
3,squared_error,1,4,0.4248236732733714,0.34204161887814705,0.6676753283357553,0.017294718599424858
4,squared_error,1,5,0.4248236732733714,0.34204161887814705,0.6676753283357553,0.017294718599424858
5,squared_error,2,1,0.6231419219527276,0.19978851756303714,0.8397655875779554,0.016222497804032465
6,squared_error,2,2,0.6231419219527277,0.19978851756303703,0.8397655875779554,0.016222497804032465
7,squared_error,2,3,0.6231419219527276,0.19978851756303717,0.8397655875779554,0.016222497804032465
8,squared_error,2,4,0.6231419219527276,0.1997885175630371,0.8397655875779554,0.016222497804032465
9,squared_error,2,5,0.603400763920727,0.18612574750613334,0.839256556431323,0.016709904471394407
10,squared_error,4,1,0.6898767135764938,0.11287125404101528,0.9675098318419455,0.005340277488627919
11,squared_error,4,2,0.705567260700817,0.12055447434931862,0.9580409185319109,0.005294324947880623
12,squared_error,4,3,0.6570983438440517,0.10745018987346962,0.9246484046342511,0.011758258975624346
13,squared_error,4,4,0.6686369839307275,0.16017269773517762,0.9063531468936195,0.022766590151346185
14,squared_error,4,5,0.6466988864222551,0.15080181112185176,0.8777756891450815,0.025321994925578226
15,squared_error,8,1,0.7696521129497078,0.03892354460365202,1.0,0.0
16,squared_error,8,2,0.7028800160738407,0.12333972258703013,0.9639627938432185,0.007137523369320021
17,squared_error,8,3,0.6580290903496788,0.10788066525842104,0.9265487599587015,0.010891888495861746
18,squared_error,8,4,0.6686369839307273,0.16017269773517767,0.9063531468936195,0.022766590151346185
19,squared_error,8,5,0.6466988864222551,0.15080181112185181,0.8777756891450815,0.025321994925578226
20,absolute_error,1,1,0.211823460207547,0.2970087192529987,0.6305308886539193,0.039198544625763915
21,absolute_error,1,2,0.211823460207547,0.2970087192529987,0.6305308886539193,0.039198544625763915
22,absolute_error,1,3,0.211823460207547,0.2970087192529987,0.6305308886539193,0.039198544625763915
23,absolute_error,1,4,0.211823460207547,0.2970087192529987,0.6305308886539193,0.039198544625763915
24,absolute_error,1,5,0.211823460207547,0.2970087192529987,0.6305308886539193,0.039198544625763915
25,absolute_error,2,1,0.502154378790418,0.13436687824036234,0.810120265065175,0.02748568882693692
26,absolute_error,2,2,0.502154378790418,0.13436687824036234,0.810120265065175,0.02748568882693692
27,absolute_error,2,3,0.502154378790418,0.13436687824036234,0.810120265065175,0.02748568882693692
28,absolute_error,2,4,0.5091193059288113,0.14187096417431602,0.8098463688921133,0.027515797243284533
29,absolute_error,2,5,0.5047763241536345,0.1369657032600734,0.8054292743272267,0.028681745513225155
30,absolute_error,4,1,0.682233209927196,0.17934699266603782,0.9510402866287601,0.009938196221329963
31,absolute_error,4,2,0.6728461479931596,0.18308204900311956,0.943758821592876,0.009085601454596845
32,absolute_error,4,3,0.6516376862930063,0.09039344408417092,0.9193766344075704,0.01352119245705068
33,absolute_error,4,4,0.6644515539983782,0.14737411530062774,0.8801431068817408,0.04238926089940135
34,absolute_error,4,5,0.5855101805551953,0.0712336143325436,0.8488045316723427,0.03926437559987643
35,absolute_error,8,1,0.7364235106162242,0.05910426194640497,1.0,0.0
36,absolute_error,8,2,0.6508726428874825,0.1754298276496807,0.9526174654790591,0.014715601864138481
37,absolute_error,8,3,0.6525468996550753,0.09083041644490124,0.9200833200914703,0.012541694729824627
38,absolute_error,8,4,0.6644515539983782,0.14737411530062774,0.8801431068817408,0.04238926089940135
39,absolute_error,8,5,0.5855101805551953,0.0712336143325436,0.8488045316723427,0.03926437559987643
