,max_features,min_samples_leaf,n_estimators,Test Accuracy,Test STD,Train Accuracy,Train STD
0,2,1,10,0.8431156061555724,0.11309253523657012,0.9751573872203967,0.003566753524032463
1,2,1,20,0.8190972273616453,0.15291000748885356,0.981061388358264,0.0038414931789514536
2,2,1,50,0.8269044012605429,0.14436193540994036,0.9822519411353625,0.002046773060192971
3,2,1,100,0.8326057655743776,0.14834751354644415,0.9843595074378723,0.001106974657260532
4,2,2,10,0.7280318170298626,0.20724097408741687,0.9226135795091913,0.011048107310444436
5,2,2,20,0.7165519544929074,0.19398399581230769,0.9249107611997023,0.005255947643607411
6,2,2,50,0.7283583417082691,0.265088576097808,0.9306908291661078,0.006161620973370944
7,2,2,100,0.7404224031045867,0.24574385548015681,0.9350521417989086,0.004272868677991359
8,2,3,10,0.6467500060361184,0.3168592910070594,0.8788342726892283,0.021635287441242018
9,2,3,20,0.679375571135179,0.22140291368413775,0.8846832173893111,0.01988882145306961
10,2,3,50,0.6462750394243216,0.2857716980248665,0.8879230519456354,0.013103030506292508
11,2,3,100,0.7029890922501579,0.24243854737694187,0.8921866890787072,0.00798897454006327
12,2,4,10,0.593470495879666,0.31468603964184355,0.8343867174250301,0.02144944851546297
13,2,4,20,0.5833705260090446,0.4224423941079237,0.831822918218494,0.019791102635956397
14,2,4,50,0.6492584882257166,0.21524115048749504,0.844291149952537,0.0028188765868184243
15,2,4,100,0.6112318627657531,0.3047486413148985,0.8526904286896257,0.005549701623473138
16,2,5,10,0.5280330188991362,0.3878128463990828,0.7766474894226815,0.016718503727787618
17,2,5,20,0.5294688993854354,0.3662507055776298,0.7940291402956337,0.01310931028448658
18,2,5,50,0.5366545328357534,0.3550355106754518,0.7876936949304647,0.01855661162739867
19,2,5,100,0.5248412240867949,0.38302212209347614,0.7926516367958341,0.010737689727588413
20,3,1,10,0.8320055086572442,0.12489342677813593,0.9817884447553894,0.0032109712393937344
21,3,1,20,0.8328936634464682,0.11738680658352314,0.9844766848084456,0.002402146000883553
22,3,1,50,0.8550017569723769,0.10554052915995893,0.9844063182488277,0.0015271231656742465
23,3,1,100,0.8553373395176296,0.08660201985230788,0.9844520234823522,0.0018119258147601778
24,3,2,10,0.7664545696874435,0.11607268331513146,0.9387933252575849,0.004705681496524003
25,3,2,20,0.7850049478126848,0.15347737827119262,0.9450841158257074,0.004930118455217041
26,3,2,50,0.7932657049698243,0.1467228585014277,0.9517330446489061,0.003282203666700311
27,3,2,100,0.7872487780753052,0.1449907210546521,0.9492735015015441,0.006262962813062461
28,3,3,10,0.7157637596102557,0.17395308575026436,0.905390330209125,0.016496710999614552
29,3,3,20,0.727390282064549,0.17744764480350936,0.9052110926549094,0.014662152056159344
30,3,3,50,0.730158317747738,0.1791733251759624,0.9089561234104533,0.009032637414014623
31,3,3,100,0.7208889746417342,0.1585309142463201,0.9101210328397095,0.010480906605627505
32,3,4,10,0.6419235685329843,0.1966005814883773,0.8606704032037781,0.01162680747762886
33,3,4,20,0.6714313948987524,0.17313531706832702,0.8720163694625654,0.00913192506402554
34,3,4,50,0.6902678707796878,0.15142337054963328,0.8686773036341583,0.01280931876024551
35,3,4,100,0.6774822524040636,0.17635747235659258,0.8659581523063119,0.016446272868571664
36,3,5,10,0.6697153955956228,0.12978346526786333,0.8186595553451521,0.016374558095332586
37,3,5,20,0.614284535108544,0.1736799912838095,0.8175281689727892,0.021736654884325152
38,3,5,50,0.6282316983843129,0.18520204317764455,0.8219400972766037,0.019523141085722912
39,3,5,100,0.6452691135006405,0.17613617930982195,0.8259289462515204,0.019086159897312556
